"","p","n","cor","pval"
"323",5,200,0,0.088
"324",5,200,0,0.232
"325",5,200,0,0.698
"326",5,200,0,0.865
"327",5,200,0,0.782
"328",5,200,0,0.132
"329",5,200,0,0.354
"330",5,200,0,0.844
"331",5,200,0,0.995
"332",5,200,0,0.979
"333",5,200,0,0.482
"334",5,200,0,0.552
"335",5,200,0,0.0600000000000001
"336",5,200,0,0.87
"337",5,200,0,0.638
"338",5,200,0,0.507
"339",5,200,0,0.889
"340",5,200,0,0.45
"341",5,200,0,0.33
"342",5,200,0,0.797
"343",5,200,0,0.344
"344",5,200,0,0.993
"345",5,200,0,0.669
"346",5,200,0,0.838
"347",5,200,0,0.948
"348",5,200,0,0.727
"349",5,200,0,0.323
"350",5,200,0,0.14
"351",5,200,0,0.781
"352",5,200,0,0.738
"353",5,200,0,0.506
"354",5,200,0,0.749
"355",5,200,0,0.515
"356",5,200,0,0.046
"357",5,200,0,0.992
"358",5,200,0,0.885
"359",5,200,0,0.585
"360",5,200,0,0.603
"361",5,200,0,0.137
"362",5,200,0,0.28
"363",5,200,0,0.363
"364",5,200,0,0.859
"365",5,200,0,0.942
"366",5,200,0,0.084
"367",5,200,0,0.434
"368",5,200,0,0.902
"369",5,200,0,0.752
"370",5,200,0,0.908
"371",5,200,0,0.405
"372",5,200,0,0.539
"373",5,200,0,0.115
"374",5,200,0,0.879
"375",5,200,0,0.846
"376",5,200,0,0.507
"377",5,200,0,0.932
"378",5,200,0,0.575
"379",5,200,0,0.817
"380",5,200,0,0.672
"381",5,200,0,0.911
"382",5,200,0,0.136
"383",5,200,0,0.281
"384",5,200,0,0.08
"385",5,200,0,0.92
"386",5,200,0,0.652
"387",5,200,0,0.492
"388",5,200,0,0.317
"389",5,200,0,0.995
"390",5,200,0,0.761
"391",5,200,0,0.309
"392",5,200,0,0.622
"393",5,200,0,0.186
"394",5,200,0,0.129
"395",5,200,0,0.005
"396",5,200,0,0.218
"397",5,200,0,0.14
"398",5,200,0,0.101
"399",5,200,0,0.215
"400",5,200,0,0.874
"401",5,200,0,0.091
"402",5,200,0,0.344
"403",5,200,0,0.525
"404",5,200,0,0.897
"405",5,200,0,0.729
"406",5,200,0,0.435
"407",5,200,0,0.222
"408",5,200,0,0.318
"409",5,200,0,0.123
