X1,p,n,cor,pval,testStat
187,5,200,0.1,2e-4,41.5540849471162
188,5,200,0.1,2e-4,80.9831276178946
189,5,200,0.1,0.257,20.9189855136069
190,5,200,0.1,2e-4,79.7062705264211
191,5,200,0.1,0.3672,19.4276579995453
192,5,200,0.1,0.4318,18.5577202582065
193,5,200,0.1,2e-4,82.7643177315496
194,5,200,0.1,2e-4,86.5497775949199
195,5,200,0.1,0.9092,12.7109364037199
196,5,200,0.1,0.554,17.1782562961052
197,5,200,0.1,2e-4,67.7147366743465
198,5,200,0.1,2e-4,79.4711157658232
199,5,200,0.1,2e-4,78.237259094609
200,5,200,0.1,0.964,11.2442068421911
201,5,200,0.1,0.1334,23.3430515300367
202,5,200,0.1,2e-4,81.5052377904964
203,5,200,0.1,0.685,15.7583889851213
204,5,200,0.1,2e-4,90.8581490037944
205,5,200,0.1,2e-4,99.4637573530954
206,5,200,0.1,2e-4,80.3238098754269
207,5,200,0.1,0.3824,19.0514784008774
208,5,200,0.1,0.1574,22.820960826449
209,5,200,0.1,0.9426,12.0645140322764
210,5,200,0.1,0.7282,15.3603691935283
211,5,200,0.1,0.1498,23.1633584632387
212,5,200,0.1,0.2788,20.7782555514341
213,5,200,0.1,0.5392,17.3248592046207
214,5,200,0.1,0.5094,17.5853182774724
215,5,200,0.1,0.2074,21.6344170811739
216,5,200,0.1,2e-4,72.1484265423928
217,5,200,0.1,0.1154,23.9660597605262
218,5,200,0.1,0.14,23.1915018631969
219,5,200,0.1,0.3898,19.0655134639917
220,5,200,0.1,2e-4,85.4894560905345
221,5,200,0.1,2e-4,94.5931402307273
222,5,200,0.1,0.5644,17.0144284565289
223,5,200,0.1,0.2384,21.3984988984079
224,5,200,0.1,0.6808,15.778554457492
225,5,200,0.1,0.0306,28.5124204525033
226,5,200,0.1,2e-4,83.6961345898621
227,5,200,0.1,2e-4,83.3781450405094
228,5,200,0.1,0.0776,25.3666326829706
229,5,200,0.1,0.8532,13.6146734425949
230,5,200,0.1,0.1554,22.8860100536424
231,5,200,0.1,2e-4,75.4012025097782
232,5,200,0.1,2e-4,78.8894654584578
233,5,200,0.1,2e-4,43.3223959945278
234,5,200,0.1,2e-4,77.4889695244998
235,5,200,0.1,2e-4,92.6107891347897
236,5,200,0.1,2e-4,75.6664551546639
237,5,200,0.1,0.227,21.415129990285
238,5,200,0.1,0.119,24.1174487229218
239,5,200,0.1,2e-4,65.8029824200256
240,5,200,0.1,2e-4,85.8236441790086
241,5,200,0.1,0.9534,11.6295231288447
242,5,200,0.1,2e-4,49.7933846254896
243,5,200,0.1,0.5178,17.5935130046424
244,5,200,0.1,2e-4,79.0705086526665
245,5,200,0.1,2e-4,44.0828589560147
246,5,200,0.1,2e-4,82.3322660887231
247,5,200,0.1,0.4412,18.4822159526938
248,5,200,0.1,2e-4,71.6946052712918
249,5,200,0.1,2e-4,75.2446719078506
250,5,200,0.1,0.3938,18.9517615633934
251,5,200,0.1,0.3182,20.0957380633723
252,5,200,0.1,0.1546,22.8113804432138
253,5,200,0.1,0.0132,31.5046371055085
254,5,200,0.1,2e-4,47.6922231189007
255,5,200,0.1,2e-4,84.2058186832474
256,5,200,0.1,0.8052,14.439035618758
257,5,200,0.1,0.6152,16.5122697386775
258,5,200,0.1,0.811,14.291616554634
259,5,200,0.1,0.306,20.2016990056908
260,5,200,0.1,2e-4,81.1285309158307
261,5,200,0.1,2e-4,77.8922951796195
262,5,200,0.1,0.4142,18.8154033406035
263,5,200,0.1,2e-4,84.2497784697067
264,5,200,0.1,2e-4,64.8371320386911
265,5,200,0.1,2e-4,75.4602457961537
266,5,200,0.1,2e-4,77.9607873634329
267,5,200,0.1,2e-4,74.3239766313169
268,5,200,0.1,0.1936,22.105355066602
269,5,200,0.1,0.0794,25.0437292449586
270,5,200,0.1,2e-4,73.0136494338342
271,5,200,0.1,0.1244,23.680355386303
272,5,200,0.1,0.0616,26.1704858243574
273,5,200,0.1,2e-4,83.5884684270958
274,5,200,0.1,2e-4,83.07268241518
275,5,200,0.1,0.7394,14.9465660132957
276,5,200,0.1,0.434,18.4550188236942
277,5,200,0.1,2e-4,76.288818127194
278,5,200,0.1,2e-4,75.8166593869019
279,5,200,0.1,0.9026,12.7406563917192
280,5,200,0.1,2e-4,72.3287562471987
281,5,200,0.1,2e-4,43.9381735819852
282,5,200,0.1,2e-4,79.7477075271713
283,5,200,0.1,0.067,25.7320337409424
284,5,200,0.1,2e-4,77.9630467041434
285,5,200,0.1,0.0208,29.7629384679258
286,5,200,0.1,2e-4,88.9293915401519
287,5,200,0.1,2e-4,78.4016829980656
288,5,200,0.1,0.2296,21.372719911456
289,5,200,0.1,2e-4,69.2202931741815
290,5,200,0.1,2e-4,86.6917143898505
291,5,200,0.1,2e-4,80.529579244286
292,5,200,0.1,0.346,19.5100459010285
293,5,200,0.1,0.1164,24.3183565617124
294,5,200,0.1,0.3164,20.0913342694168
295,5,200,0.1,2e-4,63.0280076937817
296,5,200,0.1,0.2808,20.5504368922801
297,5,200,0.1,0.6694,16.0440454985341
298,5,200,0.1,2e-4,88.9247500851302
299,5,200,0.1,0.8552,13.4742314682853
300,5,200,0.1,0.0478,26.928541033351
301,5,200,0.1,2e-4,87.615272281623
302,5,200,0.1,2e-4,78.4604210253639
303,5,200,0.1,2e-4,83.8740523468759
304,5,200,0.1,0.7214,15.3360061388411
305,5,200,0.1,0.5406,17.2375754505669
306,5,200,0.1,2e-4,84.7647044238989
307,5,200,0.1,0.6266,16.4422119200801
308,5,200,0.1,0.5738,16.9589379701221
309,5,200,0.1,0.3296,19.7598864615286
310,5,200,0.1,2e-4,83.1237625253344
311,5,200,0.1,2e-4,78.575045229441
312,5,200,0.1,2e-4,80.7066068373912
313,5,200,0.1,0.2628,20.8983204506546
