"","p","n","cor","pval","stat"
"130",5,200,0.1,1.05177189097839e-09,71.2267635419757
"131",5,200,0.1,5.85816506164679e-07,57.0440390756143
"132",5,200,0.1,0.151271600325557,23.7433518899795
"133",5,200,0.1,0.00478407533638647,34.6653456546044
"134",5,200,0.1,0.430841446091182,19.1635350768376
"135",5,200,0.1,0.987390255869284,10.9146296744008
"136",5,200,0.1,0.506613020284239,18.2714328312061
"137",5,200,0.1,6.30332330051292e-11,77.3514127179849
"138",5,200,0.1,0.19490530281781,22.7521009744263
"139",5,200,0.1,1.88361694846416e-09,69.9466100696366
"140",5,200,0.1,9.75890502243384e-10,71.3909431306967
"141",5,200,0.1,0.343805574361758,20.2887463023288
"142",5,200,0.1,0.679219560808342,16.347355221904
"143",5,200,0.1,7.68534506560063e-11,76.9229559287392
"144",5,200,0.1,2.34791634118316e-11,79.4798373432972
"145",5,200,0.1,0.0844958117788732,25.8600182925851
"146",5,200,0.1,0.245302540668021,21.8020987418547
"147",5,200,0.1,0.169709766343421,23.2998869164449
"148",5,200,0.1,0.910944314515495,13.2429688833108
"149",5,200,0.1,0.300406169970806,20.9138899706247
"150",5,200,0.1,8.82733068433294e-10,71.6108014661081
"151",5,200,0.1,0.122788663318171,24.5241611704132
"152",5,200,0.1,0.712681502569514,15.9680076713605
"153",5,200,0.1,0.869276804644308,13.9506562651604
"154",5,200,0.1,0.666112382038988,16.4940691509011
"155",5,200,0.1,0.924596880246991,12.972511617843
"156",5,200,0.1,1.68285093605311e-12,85.115617632725
"157",5,200,0.1,8.69851179750199e-09,66.5628084554887
"158",5,200,0.1,0.911836905862514,13.2260355025619
"159",5,200,0.1,1.69664173250419e-11,80.1779307893216
"160",5,200,0.1,0.350952177321353,20.1906417355187
"161",5,200,0.1,0.146667401218459,23.8608778350716
"162",5,200,0.1,5.47553764831941e-12,82.6004299024094
"163",5,200,0.1,6.4000332988953e-12,82.2669360399437
"164",5,200,0.1,0.0590574887930144,27.0794892578854
"165",5,200,0.1,0.884607227254667,13.706286661472
"166",5,200,0.1,0.485439898453587,18.5150788860469
"167",5,200,0.1,0.0428316317857682,28.1327096493069
"168",5,200,0.1,0.724455157764313,15.832360072853
"169",5,200,0.1,2.22171098201277e-12,84.5244585104266
"170",5,200,0.1,2.86138186593951e-11,79.0543573116319
"171",5,200,0.1,0.0732453077841511,26.3528145767484
"172",5,200,0.1,2.04248756508984e-07,59.4598160911668
"173",5,200,0.1,1.53353571512949e-13,90.1885591550391
"174",5,200,0.1,7.93215502866125e-11,76.8545994058584
"175",5,200,0.1,0.169294502539808,23.3094388245858
"176",5,200,0.1,7.4605594751476e-12,81.938972394475
"177",5,200,0.1,5.25970947699138e-09,67.6792588787991
"178",5,200,0.1,0.312542044695973,20.7335273846071
"179",5,200,0.1,0.574432713710754,17.5095887394792
"180",5,200,0.1,0.217511604437754,22.3055569353983
"181",5,200,0.1,0.135369993419306,24.1625950916243
"182",5,200,0.1,2.81252937312964e-12,84.0221398630396
"183",5,200,0.1,2.00055493862752e-11,79.8239930652261
"184",5,200,0.1,0.636107583599562,16.8274443257137
"185",5,200,0.1,0.399943756251232,19.5474699724447
"186",5,200,0.1,4.78737898283572e-10,72.9489052922777
"187",5,200,0.1,3.70199468661321e-12,83.4361936699189
"188",5,200,0.1,0.916632695601481,13.1333639063964
"189",5,200,0.1,4.74052206731708e-12,82.908361463695
"190",5,200,0.1,0.749312862118193,15.5409800904248
"191",5,200,0.1,0.00446663081938292,34.8570424703432
"192",5,200,0.1,0.102736317226367,25.1705476801367
"193",5,200,0.1,3.41895081260736e-10,73.6831679333043
"194",5,200,0.1,2.95036711442307e-13,88.8070839290896
"195",5,200,0.1,0.736344113647789,15.6939242016069
"196",5,200,0.1,4.10843089019882e-11,78.2751471255376
"197",5,200,0.1,3.77963774326186e-12,83.3919074739326
"198",5,200,0.1,0.0294750845882187,29.3184856852923
"199",5,200,0.1,0.0237823435411825,29.9828744146235
"200",5,200,0.1,5.97765847383985e-10,72.4638500686822
"201",5,200,0.1,0.429305875427373,19.1822865831498
"202",5,200,0.1,0.00901284358419652,32.8668606799539
"203",5,200,0.1,1.68152258518598e-11,80.1971506845594
"204",5,200,0.1,0.448965385052677,18.9445328386888
"205",5,200,0.1,0.00600700162674983,34.0254164627465
"206",5,200,0.1,6.96519301456741e-11,77.1356598946188
"207",5,200,0.1,7.00503017986683e-12,82.0737575355513
"208",5,200,0.1,6.14826604574732e-11,77.4052154818365
"209",5,200,0.1,0.546698442320657,17.8185136078876
"210",5,200,0.1,1.10199468954682e-12,86.0153805871415
"211",5,200,0.1,0.138475134073595,24.0776643350685
"212",5,200,0.1,0.498198395687204,18.3678342755372
"213",5,200,0.1,1.33899456507969e-10,75.7207824761961
"214",5,200,0.1,0.59890588943481,17.2386587347172
"215",5,200,0.1,3.2306750080995e-11,78.7930261944549
"216",5,200,0.1,8.85747003439034e-07,56.0889877877667
"217",5,200,0.1,0.186417546580003,22.9300870552782
"218",5,200,0.1,0.0617418103626725,26.9309284742165
"219",5,200,0.1,2.20764598519621e-10,74.6351899432743
"220",5,200,0.1,1.11384623422052e-09,71.1009880898395
"221",5,200,0.1,8.07209323724832e-13,86.6760529867316
"222",5,200,0.1,4.49826013471794e-12,83.0203789806594
"223",5,200,0.1,0.378533700769303,19.8227248038435
"224",5,200,0.1,3.57236958580021e-10,73.5875050513148
"225",5,200,0.1,0.601615179905707,17.2087155762031
"226",5,200,0.1,0.000181536643570756,43.298353843391
"227",5,200,0.1,0.174848631419911,23.1831939768683
"228",5,200,0.1,0.0905498001733417,25.6180581564534
"229",5,200,0.1,0.62103696359604,16.9941232965352
"230",5,200,0.1,0.477056272272245,18.6126070437379
"231",5,200,0.1,9.9558041004507e-12,81.3212498781358
"232",5,200,0.1,0.0352175247931801,28.7585769141181
"233",5,200,0.1,0.363086002278931,20.026780943368
"234",5,200,0.1,0.722124587516767,15.859318868383
"235",5,200,0.1,0.142650403145729,23.96590106343
"236",5,200,0.1,0.930506236397954,12.8466884594066
"237",5,200,0.1,1.517866687042e-11,80.4169563463805
"238",5,200,0.1,0.196591365519699,22.7174635360918
"239",5,200,0.1,2.39116921332855e-13,89.2510822108329
"240",5,200,0.1,1.1326073023931e-11,81.0449236672259
"241",5,200,0.1,8.91379180705238e-10,71.5894473924255
"242",5,200,0.1,0.0140353927319361,31.5723099856833
"243",5,200,0.1,0.297932373881189,20.9512441643146
"244",5,200,0.1,0.872961356463149,13.8932954406275
"245",5,200,0.1,0.568742276457251,17.5727659981563
"246",5,200,0.1,0.103878022937173,25.1309907939005
"247",5,200,0.1,1.31066861720493e-09,70.7438483911192
"248",5,200,0.1,0.29088780281478,21.0587681677922
"249",5,200,0.1,0.457284047301323,18.8453496778297
"250",5,200,0.1,1.24804328715075e-10,75.8732821185663
"251",5,200,0.1,6.42208577757402e-10,72.3070619883178
"252",5,200,0.1,0.528211561410263,18.0262387655916
"253",5,200,0.1,0.0351171903271162,28.7676186536654
"254",5,200,0.1,1.61648481314173e-10,75.3122081850891
"255",5,200,0.1,0.0183337011322495,30.7742777679708
"256",5,200,0.1,1.48573450659202e-10,75.495234426761
"257",5,200,0.1,9.18953991339827e-13,86.4009771605829
"258",5,200,0.1,2.20626987965608e-08,64.4866986951524
"259",5,200,0.1,0.489886828991676,18.4636020500843
"260",5,200,0.1,5.89327783204692e-10,72.494924137907
"261",5,200,0.1,0.0946812653738948,25.460839670779
"262",5,200,0.1,0.718806819944571,15.8976030553949
"263",5,200,0.1,4.64932979557991e-13,87.845089989765
"264",5,200,0.1,1.84905492090228e-11,79.99318204026
"265",5,200,0.1,3.45257994754816e-13,88.4747585896642
"266",5,200,0.1,0.122150385311339,24.543313936002
"267",5,200,0.1,1.78109859464314e-12,84.9949188087337
"268",5,200,0.1,0.66163987110348,16.5439525802181
